N,n_runs,chi_mean,chi_std,chi_min,chi_max,saturated_any,early_stop_any,sec_cycle_mean,maxdim,cutoff
8,3,34.666666666666664,1.5275252316519468,33.0,36.0,False,False,1.5521551767985027,512,1e-08
12,3,111.33333333333333,7.505553499465135,104.0,119.0,False,False,4.858021259307861,512,1e-08
16,3,237.66666666666666,42.35957192103496,190.0,271.0,False,False,25.775203943252563,512,1e-08
20,3,279.3333333333333,21.079215671683176,256.0,297.0,False,False,64.9944457411766,512,1e-08
24,3,302.0,31.0,267.0,326.0,False,False,104.31006300449371,512,1e-08
28,3,281.6666666666667,16.50252505931541,268.0,300.0,False,False,115.25798622767131,512,1e-08
32,3,299.6666666666667,54.095594398558305,265.0,362.0,False,False,156.70415631930032,512,1e-08
36,3,290.3333333333333,13.576941236277541,282.0,306.0,False,False,164.38148852189383,512,1e-08
40,3,299.3333333333333,23.755701070129113,272.0,315.0,False,False,252.53745941321054,512,1e-08
44,3,293.3333333333333,16.072751268321596,275.0,305.0,False,False,152.88321942090988,512,1e-08
48,3,322.0,6.557438524302,315.0,328.0,False,False,1517.5424658258755,512,1e-08
52,3,314.0,9.539392014169456,308.0,325.0,False,False,229.81842309236526,512,1e-08
56,3,309.6666666666667,2.309401076758499,307.0,311.0,False,False,267.3603060046832,512,1e-08
60,3,327.3333333333333,26.350205565295568,298.0,349.0,False,False,967.4964903990427,512,1e-08
